epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.330778958855457,2.271512188720703,12.03,62.05
1,2.178678525394728,2.193915058898926,21.31,68.12
2,2.1063293179690303,2.2802882400512696,18.23,68.85
3,2.057509191362867,2.340702648162842,16.67,71.96
4,2.0260769543208172,2.31668429145813,17.23,71.31
5,2.0018452052575526,2.049067816925049,26.29,74.67
6,1.9780638485040312,2.2166108783721925,18.91,71.83
7,1.9664980247139778,1.9094108489990234,29.93,82.44
8,1.944175466074681,1.8778721761703492,34.53,80.68
9,1.9242079338862557,1.8137029928207398,35.66,84.35
10,1.9093429159263338,1.8365550956726073,34.86,79.57
11,1.8905801293791944,1.809716939353943,34.3,82.08
12,1.8691696139975487,1.6991634777069091,38.8,87.59
13,1.861592085428641,1.6869221963882446,42.5,85.04
14,1.848638466469915,1.5924515996932984,45.64,88.42
15,1.8336526160050903,1.6848031284332274,41.85,85.97
16,1.823610918164711,1.6192604284286498,48.47,86.32
17,1.7980431535027244,1.7054842056274413,39.99,84.0
18,1.7928234325786254,1.6540922168731689,40.54,87.43
19,1.7809389181692683,1.6530918790817262,44.29,85.32
20,1.7726393467943433,1.6817521619796754,42.85,86.32
21,1.7543579752863445,1.5551539859771728,49.36,91.49
22,1.7482851601745957,1.6173671201705933,46.79,89.25
23,1.7570282779490902,1.7334955667495728,41.36,84.53
24,1.7366503329038925,1.6222585803985596,47.64,87.79
25,1.723730109641555,1.513686951637268,51.3,89.47
26,1.7151528558718867,1.6545777843475342,42.31,86.64
27,1.7146701032007243,1.4666011613845826,54.71,93.35
28,1.7125286701852014,1.6639475299835205,44.18,88.91
29,1.707481028481116,1.5516368171691894,54.05,91.11
30,1.7045385233113464,1.4988313827514648,54.19,91.64
31,1.6910789740986159,1.385720959854126,56.65,92.56
32,1.6904661652373292,1.599362438583374,47.87,89.96
33,1.67650528662336,1.5580108745574952,49.78,92.61
34,1.6730454982319196,1.576831078338623,45.14,88.47
35,1.675754354338945,1.670591932106018,42.44,85.2
36,1.6638594133142626,1.541595561027527,50.67,91.42
37,1.6651432275314184,1.7962420232772827,33.38,87.9
38,1.6689142532141046,1.5011836515426635,52.08,93.3
39,1.6547415641144814,1.6576115364074706,41.49,87.54
40,1.6419120131015168,1.6783095928192138,43.06,86.44
41,1.6375078883274874,1.5530082473754883,48.44,90.26
42,1.6438450525954804,1.7193155294418334,43.03,82.38
43,1.6339426232208516,1.5035928369522096,52.19,89.74
44,1.6351602171355724,1.4541890495300294,54.26,92.7
45,1.6358047492907082,1.65824174823761,42.28,87.94
46,1.6347202428553382,1.3800603610992432,55.07,92.94
47,1.6250773374845062,1.4130372249603271,56.35,92.51
48,1.6237805633401443,1.7432674087524413,45.76,82.91
49,1.6123067653438652,1.4696606605529785,52.19,87.77
50,1.6129697547526731,1.5336604021072389,52.25,89.2
51,1.6069633015520899,1.5063765014648438,50.59,91.67
52,1.6028630044335135,1.5174485101699828,55.71,90.23
53,1.599052584507096,1.6472613321304321,46.19,92.87
54,1.60182627398287,1.381844157409668,55.95,92.98
55,1.6194504488369261,1.5152278369903565,54.58,90.37
56,1.618695343807626,1.4484098360061646,51.3,91.36
57,1.5974910352736826,1.4155932271957397,55.21,91.15
58,1.5988525013306993,1.4395558799743653,55.22,92.79
59,1.5852348442724817,1.6925606437683105,45.04,89.84
60,1.5937106507841055,1.4430208292007447,58.83,92.86
61,1.5958725711981863,1.88783825340271,31.25,81.32
62,1.5861697181696777,1.5238363843917846,49.89,90.54
63,1.5794480223203895,1.7653492055892945,47.93,81.6
64,1.5817154783674452,1.4500404125213624,54.95,93.14
65,1.5870232432126694,1.4961651863098144,53.2,87.86
66,1.5852703754331026,1.7071484090805054,44.25,84.78
67,1.5849769976700772,1.5108990884780884,52.76,90.65
68,1.5678838805108308,1.5233569313049315,46.55,88.78
69,1.572284493075443,1.5524525228500365,49.53,85.72
70,1.58108828971389,1.655927614402771,44.74,86.96
71,1.5612952072321225,1.5234427944183349,53.26,87.2
72,1.5887280678169065,1.4500319862365723,59.67,93.31
73,1.5627685023254683,1.4714426761627197,53.2,87.2
74,1.5545978838823515,1.3951913425445557,56.4,91.68
75,1.569001297944639,1.6263260400772095,46.65,88.16
76,1.5429166501600213,1.5763832412719727,46.66,87.27
77,1.5667033298906994,1.600294607925415,47.75,83.93
78,1.5568913275545293,1.6469315601348877,48.02,82.43
79,1.5564779220637837,1.7215565355300904,38.98,86.8
80,1.5488855453749473,1.566150048828125,48.37,87.64
81,1.547527452093691,1.6337708484649658,43.78,89.53
82,1.5504194964367357,2.0466794736862184,34.76,76.92
83,1.546514029425024,1.6900150094985962,43.39,82.99
84,1.5497934063860763,1.9181404390335084,38.68,75.18
85,1.5438221701815553,1.4692550199508667,53.34,86.85
86,1.5545699876493437,1.7451429607391358,43.54,82.36
87,1.5535860470330365,1.7617690553665162,40.57,84.79
88,1.5355725995480785,1.7787944274902343,43.71,79.35
89,1.5262786885306105,1.7105853883743287,39.87,84.12
90,1.5447626468390416,1.8250228267669677,39.56,80.38
91,1.5357434927043476,1.6556070615768432,40.68,86.71
92,1.5307506314465698,1.7257257024765014,38.0,83.15
93,1.538280083641658,1.9412234352111817,34.29,81.75
94,1.5267297800310748,1.668752875137329,44.73,88.95
95,1.525173597238128,1.8714727817535401,37.58,78.27
96,1.5329049800483274,2.1470221397399905,37.62,71.52
97,1.5194879549337257,1.896035687828064,33.08,83.11
98,1.535080021230573,1.8374824319839478,37.98,80.79
99,1.517332359442485,1.91621268157959,32.65,81.98
100,1.5307522929355826,1.8155274894714355,36.96,82.05
101,1.5176419233772116,1.557161912918091,47.4,88.35
102,1.5110157848015027,1.5913837238311768,41.8,89.94
103,1.5179704622712544,1.7926090866088866,38.23,88.23
104,1.5211102892662591,1.4888849479675292,50.47,90.3
105,1.5137894416893338,1.9052653337478638,32.05,82.2
106,1.515264083076836,1.814571188735962,36.37,86.38
107,1.5097324143374928,1.537982705116272,50.01,87.46
