epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2966246684290534,2.164251887893677,18.5,73.96
1,2.0987487506316964,1.7329073173522949,40.41,89.98
2,1.9818685109728278,1.5885072017669677,44.73,92.02
3,1.8973488203236755,1.4963725593566894,48.33,92.32
4,1.8215854589215619,1.3321029737472534,56.81,93.05
5,1.760311353832445,1.299276984024048,57.38,95.01
6,1.7106345420305005,1.1004858785629272,66.11,97.11
7,1.6897742276612988,1.0429984278678894,67.84,97.23
8,1.659037654134284,0.9692003970146179,70.06,97.81
9,1.6213571811607643,0.9642711857795715,70.84,97.88
10,1.5965792970987045,0.9488950720787048,70.84,97.61
11,1.5684590399188971,0.8406814878463745,75.56,98.64
12,1.5595680833931311,0.9111086602210998,72.73,97.53
13,1.5420339579160938,0.8973587063789368,72.63,97.89
14,1.535702346686975,0.8066377223014831,78.57,98.71
15,1.5104449337942194,0.792599001121521,78.23,98.61
16,1.508142945479492,0.809848720741272,77.49,98.57
17,1.5007435764149117,0.7720921130180359,78.36,98.73
18,1.4824441543156603,0.8057373516082764,76.17,98.36
19,1.4706852287244858,0.8244522092819214,76.08,98.15
20,1.4559736824981993,0.7296516975402833,79.41,98.74
21,1.4514631460326581,0.6498927664756775,83.12,99.04
22,1.426058804103568,0.6607564806938171,82.92,99.13
23,1.4352295197994853,0.665698689365387,83.29,98.99
24,1.4089158407857263,0.646161141872406,83.81,99.06
25,1.4173695077969384,0.6325874592781067,84.97,99.11
26,1.3991665927151864,0.6436463082313537,83.5,99.09
27,1.3843033716712199,0.6348800647735595,85.34,99.25
28,1.369112780091094,0.6316390727519989,84.77,99.13
29,1.3911259664310842,0.6326344559669494,84.74,99.05
30,1.3638449620345796,0.6267659078598022,84.67,99.35
31,1.3643206325139035,0.5943982696533203,84.16,99.09
32,1.350778954206142,0.5471731905460357,86.56,99.42
33,1.3497784540686808,0.5903861889839173,85.89,99.25
34,1.349487618127034,0.607137611579895,85.41,98.99
35,1.3289430823735178,0.5543903010368347,86.46,99.19
36,1.3415377878043777,0.5535812030315399,86.6,99.18
37,1.3351070776333729,0.578161445903778,87.1,99.39
38,1.3100010031469347,0.5941414276123047,87.01,99.21
39,1.341450067167856,0.5982490380287171,86.91,99.29
40,1.3063833969961207,0.5319685549259185,87.46,99.47
41,1.3152217704721663,0.5704940688610077,87.37,99.55
42,1.3096554132796128,0.6027812801361084,87.74,99.21
43,1.3349786645776942,0.560954953956604,88.31,99.36
44,1.3071671663264763,0.5709245671272278,87.27,99.3
45,1.2935736251854255,0.5552533707618713,87.57,99.36
46,1.2855884857885969,0.5157304355621338,88.25,99.37
47,1.277344276673052,0.5844383054733276,87.91,99.33
48,1.2978018751217675,0.511746572637558,88.61,99.29
49,1.2827499774445645,0.5451803368568421,88.2,99.57
50,1.2795128449129844,0.5347645018577576,89.12,99.52
51,1.2894775261494322,0.5801636870861053,88.64,99.49
52,1.2811067078391354,0.4800828809261322,87.85,99.39
53,1.2807877745274239,0.5289338379859925,89.15,99.63
54,1.2747169648334098,0.48196969060897826,88.57,99.43
55,1.2634167322428675,0.5358833691596985,88.69,99.37
56,1.2624522191156347,0.4728464691162109,88.85,99.48
57,1.260141647884696,0.509230111026764,89.12,99.57
58,1.2657650695414915,0.5100462579727173,89.36,99.46
59,1.2555302441807012,0.48229619283676145,89.45,99.55
60,1.2669042716716223,0.5704788180351257,88.66,99.3
61,1.2534261820563586,0.4961582166671753,88.9,99.38
62,1.2689187163427453,0.5512763643741607,88.39,99.36
63,1.2704203658464166,0.5535523122787476,89.57,99.51
64,1.2802652396099516,0.5375183348655701,89.79,99.6
65,1.2646926784942765,0.46715974431037904,89.61,99.47
66,1.24773641287441,0.5035071780204773,89.41,99.47
67,1.2619915237500023,0.48248538475036623,89.63,99.62
68,1.2572413901208153,0.475182593870163,90.05,99.65
