epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.294844475659457,2.1361084354400637,20.19,74.49
1,2.083055248181127,1.7031330307006836,42.33,90.18
2,1.9660641727313188,1.5368906536102296,47.44,92.89
3,1.882986319202467,1.402062706375122,52.86,94.13
4,1.8063837785879568,1.282574446105957,58.63,94.07
5,1.744731981073543,1.2547850587844849,60.08,95.52
6,1.699594002374461,1.1173799728393554,65.37,96.77
7,1.68112173947421,1.018540050125122,69.68,97.35
8,1.6488574340309896,0.9445823842048645,71.52,98.07
9,1.6095393044389927,0.9418772080421448,72.52,97.15
10,1.5854422769839571,0.8969310166358948,74.0,98.01
11,1.5575216101928495,0.8336344073295593,76.26,98.3
12,1.5530845960184798,0.9833385663032532,70.1,97.01
13,1.5338936238221719,0.8472528439521789,74.83,98.1
14,1.526499865760266,0.8246278359413147,77.06,98.62
15,1.5045613939569793,0.7851871883392334,78.04,98.69
16,1.5018931441056744,0.8422286493301392,76.75,97.8
17,1.4961110721324378,0.8022406378746033,77.78,98.58
18,1.4765114128665948,0.7550249846458436,78.56,98.26
19,1.4657794958345411,0.7817451909065246,78.28,98.68
20,1.4515938193330997,0.7547640951156617,78.36,98.63
21,1.446912278820702,0.6384886846542358,83.35,99.03
22,1.4230496792573477,0.6608681101799011,82.57,99.04
23,1.433143303504216,0.6516700176239014,82.94,98.94
24,1.4054450255350022,0.6916727991104126,81.66,98.86
25,1.4162905091818103,0.6364532977104187,83.71,99.06
26,1.3987522718237855,0.6220407066345215,84.01,99.06
27,1.3822580892664218,0.6551933989048004,84.41,99.0
28,1.3705364553479624,0.6548687156200409,84.03,99.23
29,1.392141333615429,0.6434469211578369,83.44,98.94
30,1.3685853728564235,0.6003785943031311,85.85,99.18
31,1.3664702803621525,0.576222834777832,84.85,99.33
32,1.3556000165231097,0.5154901001930237,86.88,99.37
33,1.3507036746082477,0.5796749383926392,85.94,99.3
34,1.3542693941907602,0.6049205592155457,84.75,99.18
35,1.3292154159954965,0.5907807231903076,84.92,99.22
36,1.3453700156279014,0.5509829292774201,86.07,99.27
37,1.3376583127297756,0.6023695798873901,85.98,99.25
38,1.3116895784641809,0.537576066493988,87.81,99.5
39,1.3445001123961964,0.5968824808120727,86.2,99.3
40,1.3085438609886413,0.5286717220783234,87.2,99.47
41,1.320182233781729,0.5643932621002197,87.64,99.28
42,1.314320916250329,0.6183672152519226,86.46,99.23
43,1.3363133156040108,0.5902790041923522,87.35,99.35
44,1.3126600285498342,0.5335021115303039,87.8,99.4
45,1.2982755028636752,0.539734824180603,87.97,99.43
46,1.289103443888177,0.5216427315711976,88.09,99.39
47,1.2808039594398724,0.5825185716629029,87.56,99.25
48,1.3018793951381336,0.46812578191757204,89.33,99.54
49,1.2858544218708092,0.5476271081924439,88.02,99.45
50,1.281377327350587,0.5213349369049072,88.89,99.44
51,1.2910917324232232,0.5967660490989685,88.26,99.48
52,1.2859153130906187,0.4643398754119873,89.25,99.45
53,1.284525080542253,0.5335776176452637,89.23,99.48
54,1.2797933406316975,0.46388148679733276,89.08,99.6
55,1.2666209308041805,0.5307359372138977,88.41,99.49
56,1.263611635233773,0.44532810916900634,88.92,99.53
57,1.2655326330249654,0.497842563533783,89.25,99.5
58,1.2699909575770056,0.5268019882202148,88.77,99.47
59,1.261247293134047,0.49246031637191773,89.73,99.54
60,1.271647454452881,0.5830533165931702,88.16,99.42
61,1.2567082133702219,0.4912790546417236,89.16,99.49
