epoch,train_loss,eval_loss,eval_top1,eval_top5
73,1.2170196981497214,0.4794036808490753,90.33,99.59
74,1.230718033338173,0.44509276728630065,90.53,99.61
75,1.2603519371163372,0.5128541604995728,90.31,99.52
76,1.2399967123543254,0.5170396883010864,90.56,99.49
77,1.2298628417691562,0.4440893831968307,90.33,99.61
78,1.2047113278611217,0.4314718084812164,90.48,99.55
79,1.2465297420259933,0.4555897171974182,90.82,99.68
80,1.2025462824770186,0.4976339411735535,90.78,99.65
81,1.2208148495183253,0.4618523205280304,90.8,99.58
82,1.1994208559184008,0.5155577303409576,90.36,99.54
83,1.198792976087553,0.4529248450279236,90.53,99.63
84,1.2069212443239405,0.45145679602622985,90.68,99.57
85,1.2080630361652251,0.5057616627693177,90.78,99.63
86,1.2129668984919901,0.46399987926483155,90.63,99.67
87,1.2003816792052167,0.45069868831634524,91.05,99.61
88,1.2108764551513174,0.4369176275730133,91.25,99.56
89,1.1974577537419395,0.4248775006771088,90.3,99.59
90,1.2043450473975892,0.4787018822193146,90.66,99.67
91,1.1948628461467776,0.45949383068084715,91.27,99.49
92,1.2054651695543306,0.4607320667028427,90.95,99.63
93,1.2012851627474406,0.44054096002578735,91.01,99.59
94,1.213298178283872,0.48219449048042295,91.3,99.55
95,1.2060504113818864,0.45982654414176943,90.99,99.55
96,1.2047936115008462,0.4448079931259155,91.03,99.68
97,1.1909203582780767,0.4757039933204651,91.39,99.65
98,1.217027664718799,0.46866228919029235,90.85,99.53
99,1.1871889425148274,0.467174720621109,90.79,99.63
100,1.1976981824705146,0.4229123834609985,91.73,99.64
101,1.1866035723960964,0.399801028585434,91.59,99.64
102,1.1852154031911062,0.4601010995864868,91.61,99.62
103,1.18872883316802,0.4251986424446106,91.45,99.59
104,1.1725815520091185,0.42727454295158385,91.47,99.7
105,1.1968121015002877,0.44507887754440306,91.53,99.66
106,1.1566778711411774,0.4141007828235626,91.55,99.65
107,1.163887094138679,0.5266759497642517,91.11,99.57
108,1.1893852869771355,0.4031005980968475,91.65,99.6
109,1.1924621623853715,0.4498809543609619,91.42,99.65
110,1.1730579658293387,0.46493434267044065,91.2,99.72
111,1.1539043238465214,0.4923434362888336,91.39,99.56
112,1.1798631861023652,0.4499796980381012,91.51,99.71
113,1.1746936343543508,0.44580822372436524,91.69,99.63
114,1.1978928592537796,0.5089796838760376,91.52,99.63
115,1.1573139813736977,0.46490726227760315,91.7,99.55
116,1.1513430280050456,0.4205925261974335,91.69,99.69
117,1.1612364118596807,0.4488378296852112,91.69,99.7
118,1.1582843313296534,0.4368365909099579,91.8,99.62
119,1.1884399021328182,0.48103371257781985,91.37,99.71
