epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.300467637986441,2.159317791748047,19.8,73.93
1,2.0978843439251147,1.7436982330322266,41.38,89.86
2,1.9907964153570648,1.5776573740005493,48.04,92.44
3,1.9217814104810413,1.4461285263061523,52.1,93.95
4,1.8496828822564528,1.3557092233657837,55.83,93.73
5,1.7880270328472885,1.2499783525466919,61.94,96.05
6,1.7387059140907513,1.1660803520202636,64.03,96.12
7,1.717207275951107,1.086864111995697,67.0,97.18
8,1.6835471278726672,1.0197468851089477,69.61,97.46
9,1.6478388239265862,0.9777235578536987,71.84,98.08
10,1.6198023400447128,0.9148172646522522,73.92,98.14
11,1.5908513959024992,0.8973971982955933,74.32,98.19
12,1.580379124334924,0.8639079787254333,75.68,98.47
13,1.5610809928323792,0.8064880381584167,77.1,98.39
14,1.5466298304507735,0.7964653577804566,78.46,98.61
15,1.5295843543835395,0.8221677452087403,77.68,98.56
16,1.5235996242521972,0.8016106925010681,78.44,98.81
17,1.5155173973603682,0.7639312650680542,80.24,98.75
18,1.4946171552057304,0.7467245866775513,80.06,98.89
19,1.484346832111764,0.7451325188636779,80.53,98.49
20,1.467430347135522,0.7091502059936523,80.16,98.95
21,1.4590050183551413,0.6505487931251526,82.58,99.12
22,1.4332318805854543,0.6684845234870911,82.14,98.99
23,1.4401780286000114,0.6727011459350586,83.45,98.94
24,1.411541169263642,0.6618475078582764,83.59,98.9
25,1.4229636726550348,0.668958517742157,83.17,99.11
26,1.4052729672262214,0.626499963760376,83.99,99.1
27,1.3910076820438253,0.6367182562351227,85.18,99.23
28,1.3796859041676783,0.6577654158592224,84.56,99.28
29,1.3956193354615176,0.6559375011444092,84.24,99.05
30,1.3757381840643597,0.6549010570526123,85.0,99.12
31,1.3706959283764018,0.5738562090873718,85.42,99.3
32,1.3599324701842823,0.5562280259609222,85.79,99.38
33,1.3558863896719167,0.5989894075393677,86.12,99.37
34,1.3564684105591036,0.5854946964263916,85.91,99.26
35,1.3340828851456832,0.5822179190158844,86.08,99.47
36,1.350003096190366,0.5766142434597016,86.8,99.35
37,1.3419097017845028,0.5800173704624176,86.56,99.29
38,1.3185579722577876,0.5876647344112397,86.78,99.4
39,1.350294729277358,0.5902763588905334,87.23,99.44
40,1.3125826863717482,0.5402738186836242,86.82,99.52
41,1.3225472155056903,0.5856787293434144,86.47,99.43
42,1.318633744338105,0.6126160355567932,87.17,99.25
43,1.3389551446471415,0.5564916459083558,87.79,99.32
44,1.3146381478150888,0.5582427522659302,87.16,99.52
45,1.304225743656427,0.5397497688293457,88.2,99.47
46,1.2954155665353684,0.5469416243553161,87.83,99.33
47,1.285465412423797,0.5670350678443908,88.33,99.54
48,1.3037967178946726,0.5084502252101898,88.42,99.46
49,1.2884857235583698,0.5520217814445496,88.36,99.45
50,1.2852803944930835,0.5396259450435639,88.81,99.53
51,1.2975357430539882,0.5818567821502686,87.93,99.46
52,1.290887904457185,0.48205083198547366,88.88,99.55
53,1.2861391009808196,0.5413745390892029,88.44,99.49
54,1.2829147939034826,0.48109250535964965,88.63,99.58
55,1.2708237457366973,0.52430328373909,88.55,99.51
56,1.2676201470377504,0.4826258782863617,88.72,99.58
57,1.267592325329628,0.5141925453662872,89.18,99.48
58,1.2741181507763881,0.5161970529556275,89.2,99.46
59,1.2626567001379407,0.48095323967933656,89.93,99.63
60,1.2766116003526158,0.5540120190620422,89.65,99.5
61,1.2565591331480712,0.49674409093856814,89.19,99.35
62,1.2758857254487452,0.5381731484413147,88.56,99.47
63,1.2754452025539287,0.5350120988845826,89.14,99.44
64,1.285979491724095,0.5355932772159576,89.75,99.63
65,1.2695213995120285,0.49112261266708374,89.24,99.56
66,1.2547226832862395,0.4921211037635803,89.27,99.46
67,1.268124138957865,0.490426528263092,89.5,99.65
68,1.2623637726151227,0.4775947552680969,90.24,99.56
69,1.2408799124588277,0.5397580721855163,89.28,99.48
70,1.241748053423116,0.4640078764915466,89.51,99.5
71,1.2374727886251238,0.5100812586784362,90.0,99.57
72,1.243135067396982,0.5022078435897828,89.99,99.52
73,1.2271191464801452,0.4663142321586609,90.06,99.54
74,1.2377351191223964,0.4295714141845703,90.22,99.66
75,1.2400301300304037,0.4378512917995453,89.98,99.56
76,1.238888755116359,0.4958966413497925,90.15,99.54
77,1.2368064634931224,0.5172635306358337,89.92,99.54
78,1.2348735199695056,0.45061782751083373,90.23,99.65
79,1.2308641771348277,0.46346012349128723,90.19,99.58
80,1.2208315240130991,0.49304207587242127,90.03,99.49
81,1.217188822475194,0.4229001788139343,90.76,99.64
82,1.2421790716284826,0.5044332699775695,89.79,99.53
83,1.2220996066489078,0.4958301793575287,90.87,99.47
84,1.22408360693122,0.4529738757133484,90.51,99.57
85,1.2387119713269183,0.41829204058647157,90.91,99.62
86,1.2268622638168774,0.44463571662902834,90.75,99.5
87,1.2381665797453378,0.48171940379142764,90.38,99.54
88,1.2168680506540168,0.45181295804977417,90.94,99.68
89,1.2159634299681221,0.4366027651786804,91.11,99.62
90,1.225451628926774,0.4234010821342468,91.16,99.58
91,1.225458792855584,0.4651266764640808,91.11,99.65
92,1.2331436576367034,0.4456079713821411,90.54,99.57
93,1.2176174764138636,0.4434985746860504,90.97,99.54
94,1.2132352392896342,0.4416123420715332,91.46,99.62
95,1.2093890677951515,0.4443068717956543,91.18,99.67
96,1.2095023157044043,0.44173144421577454,91.4,99.66
97,1.194763452310721,0.47546974983215334,91.12,99.66
98,1.1975961090202674,0.46504774618148803,91.09,99.64
99,1.2012528102468132,0.46433514776229856,91.21,99.74
100,1.1992217545014796,0.5417203859329224,90.78,99.61
101,1.195230023198488,0.43524928932189944,90.85,99.56
102,1.2013329210263055,0.4291606412887573,91.04,99.69
103,1.2054408454406582,0.39642313299179077,91.41,99.63
104,1.1943838540631586,0.43478333854675294,91.3,99.62
105,1.184384655708235,0.4289856276035309,91.22,99.63
106,1.191919277404243,0.4298569540977478,91.7,99.54
107,1.2090160510146206,0.42455486402511594,91.24,99.58
108,1.1990109066193906,0.45541895546913147,91.58,99.52
109,1.1967090803285567,0.4343865308761597,91.57,99.58
110,1.205677338812629,0.4409658467292786,91.69,99.58
111,1.1907835585970274,0.45847025990486145,91.72,99.59
112,1.212080125161536,0.4455616179943085,91.59,99.53
113,1.200529380736064,0.4115015329360962,91.8,99.56
114,1.1824259538961892,0.41359731698036195,91.73,99.6
115,1.1801543341098155,0.4400321890830994,91.96,99.65
116,1.2131869383871785,0.4796653776168823,91.82,99.62
117,1.206052892568322,0.4413177599906921,91.46,99.68
118,1.1807740493254228,0.44253534989356996,91.7,99.65
119,1.1776638939194428,0.4052044335365295,91.65,99.71
120,1.1878181914971824,0.4490315487861633,91.93,99.55
121,1.1792954695667408,0.4613915549278259,91.32,99.55
122,1.1841620093881702,0.4663414896965027,91.31,99.6
123,1.1853648600443987,0.42593228635787966,91.89,99.64
124,1.208729447460663,0.4800802150726318,91.48,99.58
125,1.1521888630185635,0.4466174559116364,91.75,99.54
126,1.1662381379155589,0.45035411701202394,91.83,99.63
127,1.173492677538404,0.4180658499240875,91.36,99.55
128,1.1794479883129252,0.39625689606666564,91.96,99.68
129,1.1685656315233277,0.41573946790695193,91.71,99.61
130,1.160975999777204,0.43037980976104734,92.35,99.69
131,1.1639008217523406,0.4186982840538025,92.39,99.57
132,1.1694740438583413,0.420948709487915,92.29,99.6
