epoch,train_loss,eval_loss,eval_top1,eval_top5
177,1.129407328008537,0.42549927406311033,92.51,99.64
178,1.1287620069122803,0.43082852067947386,92.62,99.61
179,1.1333531967809045,0.4056892669200897,92.64,99.72
180,1.1419902018792498,0.4082650712966919,92.78,99.64
181,1.1180313137215627,0.43223433084487917,92.67,99.69
182,1.1017596230922069,0.4442176712989807,92.55,99.61
183,1.1022600581948185,0.48611582593917846,92.37,99.75
184,1.1277787174061227,0.46267360911369326,92.52,99.62
185,1.124726064455494,0.3832474010467529,92.8,99.71
186,1.114265776474253,0.43188900089263915,92.47,99.75
187,1.1080552763883955,0.3796259117603302,92.78,99.69
188,1.099560052118289,0.37992426900863646,92.61,99.64
189,1.1214034258937713,0.43526572551727294,92.79,99.7
190,1.119769631671539,0.40632932982444764,92.55,99.74
191,1.1223626117700194,0.3980125969409943,93.06,99.68
192,1.1104693947009332,0.4051212996482849,92.7,99.59
193,1.1277072694481716,0.4181828736782074,92.94,99.75
194,1.1281085511175832,0.3975220886230469,93.14,99.68
195,1.1186627041973012,0.3679482044696808,92.96,99.68
196,1.1117911450994151,0.42475041189193724,92.79,99.54
197,1.1072281269349453,0.37925508823394777,92.86,99.66
198,1.1111735647374934,0.36897594447135923,93.05,99.71
199,1.0987501775562076,0.37198236660957334,93.2,99.68
200,1.1201380189799164,0.4320578621864319,92.99,99.72
201,1.093867054211498,0.39657974004745483,93.17,99.68
202,1.1227526143479438,0.3957512602329254,93.03,99.78
203,1.1063078630443723,0.3959660959243774,93.26,99.65
204,1.098406413453184,0.43881856846809386,92.74,99.58
205,1.094528911895239,0.43286711711883546,93.18,99.68
206,1.125205685020867,0.4202263833999634,93.1,99.7
207,1.1073012119218726,0.4193400880336762,92.89,99.67
208,1.1029131648329857,0.3860138572692871,93.01,99.64
209,1.1115740391112168,0.3578270469665527,92.88,99.63
210,1.1096552039535952,0.4178255926609039,92.8,99.63
211,1.1175670988581092,0.40189333901405333,93.4,99.6
212,1.096807833517712,0.3998994397640228,93.54,99.65
213,1.1187348129196752,0.38486115345954897,93.51,99.68
214,1.113653785211634,0.43094373750686643,93.05,99.56
215,1.0944340760973443,0.42624265422821045,92.99,99.67
216,1.1287865185401809,0.44187601432800294,93.07,99.66
217,1.092582812229894,0.3718781448841095,93.03,99.63
218,1.1126146414979015,0.434552840089798,93.01,99.61
219,1.1085867921460453,0.43356938972473147,93.47,99.74
220,1.1344935367415718,0.414268465423584,93.33,99.66
221,1.1082214381111721,0.40566138205528257,93.39,99.65
222,1.096232769354968,0.41220690035820007,93.33,99.66
223,1.0933472260012365,0.39718348355293276,93.09,99.67
224,1.0849442623183607,0.47210825452804567,92.91,99.66
225,1.1072763602956461,0.3711413784980774,93.57,99.69
226,1.0949287379444332,0.4145561462402344,93.35,99.58
227,1.0902966836350523,0.4283622027873993,93.36,99.65
228,1.1074708625388054,0.46299256296157837,93.07,99.64
229,1.097945463336842,0.3518528649806976,93.18,99.57
230,1.1044277245042877,0.41029355511665344,93.62,99.65
231,1.0984623750407014,0.36182969250679015,93.54,99.7
232,1.087228531416186,0.4084850748062134,93.49,99.64
233,1.0864027191368475,0.35788017234802244,93.37,99.78
234,1.088313771347383,0.3936557111740112,93.35,99.69
235,1.0992554136946626,0.4028887190818787,93.46,99.75
236,1.0887775270795395,0.38807724866867066,93.54,99.65
237,1.1038096671525708,0.4596680807113647,93.15,99.64
238,1.0871901910527872,0.3829440595626831,93.59,99.71
239,1.107251382133567,0.4203557161331177,93.59,99.7
240,1.1082709862847029,0.4410959678649902,93.5,99.68
241,1.1194743486586363,0.424676598072052,93.6,99.72
242,1.102857788912618,0.3857145208835602,93.72,99.61
243,1.0916535955843027,0.4176547580242157,93.37,99.64
244,1.106120230827991,0.3952377737998962,93.43,99.64
245,1.1024055318398909,0.3771094759941101,93.59,99.67
246,1.078458545073657,0.4273141577720642,93.72,99.7
247,1.082354775922094,0.367250377702713,93.61,99.62
248,1.0804180959275376,0.41555173406600954,93.7,99.64
249,1.0850068497138812,0.4111477735996246,93.72,99.67
250,1.0736668016022206,0.3871844684123993,93.8,99.62
251,1.0836982765209966,0.3523056950092316,93.74,99.6
252,1.0873410736094975,0.35476158499717714,94.01,99.6
253,1.0874194395221608,0.41708354558944705,93.83,99.67
254,1.091310007089842,0.4318789113998413,93.59,99.72
255,1.0842715752872707,0.36671266784667966,93.9,99.66
256,1.0823009281243925,0.3700736247062683,93.77,99.63
257,1.0734726767533873,0.40864705605506896,93.75,99.66
258,1.0725098565201754,0.3394617802619934,93.62,99.67
259,1.0969226741149698,0.4139616933345795,93.85,99.68
260,1.0801791885292942,0.4226719970703125,93.73,99.61
261,1.0820071505676006,0.3806953397274017,93.74,99.71
262,1.1003081505490937,0.3615711937427521,93.81,99.69
263,1.0881687524834607,0.36341018056869506,93.71,99.75
264,1.1007222970530257,0.4097945363998413,93.61,99.68
