epoch,train_loss,eval_loss,eval_top1,eval_top5

0,2.301885359723803,2.156813679885864,19.96,73.31

1,2.096644730940366,1.744648535346985,41.23,89.86

2,1.992381708722719,1.5769084949493408,47.91,92.28

3,1.9217146380152195,1.435946743965149,51.96,94.12

4,1.8524482732545704,1.363217379760742,55.38,93.61

5,1.7901314148982264,1.2595073223114013,60.1,95.44

6,1.7389791764309404,1.151354354095459,65.44,96.39

7,1.716991536443273,1.0986412712097169,66.33,97.03

8,1.6831467438598906,0.9889044020652771,69.97,97.86

9,1.6475190823270478,0.9732881817817688,71.59,98.13

10,1.6171092895478507,0.9511403149604797,71.7,98.02

11,1.5892849780533287,0.8888265045166016,74.72,98.21

12,1.5789217768802228,0.8420737442970276,76.56,98.58

13,1.5582896322965927,0.8058569011688232,77.04,98.56

14,1.548053486399095,0.8164958575248719,77.61,98.47

15,1.5266952136109335,0.8088128150939942,78.34,98.68

16,1.5219261834777118,0.7997565822601318,78.56,98.6

17,1.5133855302416255,0.7681181990623475,79.56,98.78

18,1.4916791429745555,0.7739161402702331,78.18,98.6

19,1.4788332770026447,0.7245053499221802,80.65,98.65

20,1.4646783290232952,0.7027094779968261,80.63,98.75

21,1.4585570466350501,0.6528682218551636,82.91,99.11

22,1.431254904721977,0.6551614440917969,82.98,99.19

23,1.4380044791365707,0.6733737627029419,83.1,98.87

24,1.4107112787597158,0.6682528534889222,83.0,99.07

25,1.4231511371236452,0.652014534664154,84.16,99.03

26,1.4021827493068046,0.6145900854110717,84.7,99.22

27,1.3891427705443622,0.634198968076706,84.62,99.18

28,1.3802706112324352,0.6396251640319824,84.94,99.22

29,1.3979409457626781,0.6518792759895324,84.65,98.98

30,1.3733917718202295,0.6464612585067749,85.1,99.19

31,1.3729203657059907,0.5663015119552612,85.7,99.3

32,1.3579503136010849,0.5597604668617249,85.64,99.34

33,1.3574021109850856,0.5757065321922302,85.7,99.3

34,1.3562492585517991,0.5876488169670105,86.17,99.32

35,1.3362518409302842,0.5531832451820373,86.88,99.38

36,1.3481593827279368,0.5625498547554016,86.89,99.53

37,1.3414698504913174,0.6036665729522706,86.07,99.37

38,1.3203974779070415,0.5848417074203491,86.32,99.3

39,1.3469033393908707,0.5838219851493835,87.68,99.42

40,1.3128731354555918,0.5222001606941223,87.52,99.46

41,1.3235187910583046,0.5888737413406372,87.66,99.38

42,1.3203451194622757,0.5996265851974487,87.43,99.37

43,1.3424461089389426,0.5703731130599976,87.51,99.46

44,1.3181166822870622,0.5568757773876191,87.64,99.38

45,1.3003052745524808,0.5351533045768738,88.38,99.37

46,1.2940054565629946,0.5211528444290161,88.35,99.36

47,1.2844726557005077,0.5711148694515228,87.94,99.5

48,1.3040995342936008,0.5028436150550842,88.77,99.59

49,1.2910420782434804,0.5370769158363342,88.62,99.52

50,1.2876534515397955,0.5434975215911865,88.45,99.49

51,1.2978247273594103,0.5675240270614624,88.33,99.39

52,1.2901615629428176,0.4754806949615479,88.82,99.47

53,1.2885230607168316,0.5453620240211486,88.51,99.5

54,1.281407354583203,0.4803435659408569,88.74,99.54

55,1.2689241772271913,0.5197864588737487,89.31,99.52

56,1.2661296538293132,0.46481660261154173,88.98,99.57

57,1.2677198394312597,0.50532541680336,89.14,99.55

58,1.2732834117665943,0.5250610450744629,89.14,99.51

59,1.2623937132263916,0.4837604595184326,89.85,99.61

60,1.2762338398513355,0.5792170191764832,89.17,99.44

61,1.259352197415087,0.48926535949707034,89.46,99.51

62,1.2743259801907363,0.5336294939994812,89.05,99.49

63,1.2786292582559524,0.550340761089325,89.17,99.51

64,1.2863014206843553,0.5150447483062744,89.89,99.58

65,1.2704697315427314,0.4791638011932373,90.03,99.55

66,1.2558065359021577,0.505554121017456,89.3,99.57

