epoch,train_loss,eval_loss,eval_top1,eval_top5
284,0.6210745885467529,0.2615458526492119,94.15,99.87
285,0.6218344435882568,0.2610603773355484,94.17,99.86
286,0.6192440448570251,0.26124938645362855,93.96,99.8
287,0.6194215173530578,0.25266984773874285,94.41,99.79
288,0.6156313911437988,0.26240430468320847,94.1,99.75
289,0.6162612546539307,0.2615708882689476,94.2,99.73
290,0.615578039226532,0.2588765515804291,94.24,99.72
291,0.6177947114181519,0.2600705165743828,94.08,99.82
292,0.6179584861946106,0.2598196884036064,94.17,99.75
293,0.6187070978736877,0.2596745767235756,94.12,99.8
294,0.6190857936286926,0.26121405770778655,94.31,99.78
295,0.6182515604400635,0.26254784305095674,94.19,99.77
296,0.6156999001502991,0.26307468860149386,94.16,99.74
297,0.616214651927948,0.26628068208694455,94.01,99.8
298,0.6170316493034362,0.2577947580099106,94.15,99.81
299,0.6139225930023193,0.2583570258498192,94.17,99.8
300,0.6182519470405579,0.2615183097958565,94.17,99.75
301,0.6164510340881347,0.26040778419971466,93.94,99.78
302,0.6145440886878968,0.26141500618457797,94.07,99.83
303,0.6248690326690673,0.2619710710763931,94.04,99.82
304,0.623109204158783,0.2600523926615715,94.25,99.82
305,0.621676572971344,0.26194300775527957,94.16,99.76
306,0.6246079801368714,0.2613880322813988,94.16,99.71
307,0.6254145073890686,0.26091774307489396,94.25,99.8
308,0.623162692604065,0.25730555194616317,94.39,99.78
309,0.6218663727760315,0.2549127685189247,94.45,99.8
