epoch,train_loss,eval_loss,eval_top1,eval_top5
11,1.6957504351139068,1.4560967411994934,52.86,92.79
12,1.6832095919847487,1.200515278697014,64.04,95.6
13,1.6612174213647843,1.2760011433660985,59.74,94.44
14,1.6592997619867325,1.2859744836091995,60.8,93.71
15,1.6508434458732606,1.2044859937727452,62.76,94.88
16,1.6375224341154098,1.2591604931354523,60.17,93.89
17,1.625753606593609,1.184449587225914,63.95,96.24
18,1.609567928647995,1.1443662353754043,65.3,96.43
19,1.6040121565699577,1.142482458949089,65.18,96.68
20,1.597140403330326,1.2125072614550592,62.5,95.78
21,1.588203376197815,1.092016098678112,68.62,96.58
22,1.5785906523466111,1.4162768136262893,52.58,92.5
23,1.5722441327929497,1.1674700407087804,64.87,96.41
24,1.5766863487243652,1.3081754522919655,58.36,94.92
25,1.5707633620977401,1.0830673659443855,68.23,96.3
26,1.5598353134393692,1.1240510857701302,67.33,95.85
27,1.5550400003910065,1.1275481795072555,66.4,96.31
28,1.544991753590107,1.0570844810307025,69.39,96.32
29,1.5497539461612702,1.1156099871993066,68.53,96.37
30,1.5441774715662002,1.132016487956047,65.73,96.6
31,1.5454740898251533,1.0977286582291126,68.79,96.47
32,1.5407602400422096,0.9782522498965264,70.53,97.11
33,1.538999732685089,1.0869589702486993,68.09,96.51
34,1.5356317077636719,1.0363492799699308,71.06,96.7
35,1.5348651773571969,1.01883518242836,70.33,97.01
36,1.5286777600049972,0.9892437465190888,71.93,96.22
37,1.5247913620471953,1.0570662174522876,68.74,96.55
38,1.5122942739129066,0.9738675120472908,71.5,97.05
39,1.5229360237121583,0.985318128734827,71.44,97.41
40,1.5240774528503418,0.9483697171509265,73.67,97.53
41,1.5144173976659774,1.1333143373727799,66.67,95.5
42,1.5077802392363548,1.1553587378263475,63.76,95.64
43,1.5155449246287347,1.0919375458061695,68.28,95.89
44,1.5116228950977326,1.0440201647877694,70.55,96.54
45,1.4940989766716957,0.9958744527995587,71.65,97.12
46,1.5056553364753724,1.042302088946104,68.71,96.36
47,1.5007676435112953,0.9813657887876034,72.16,97.36
48,1.4935903390169143,0.9514709081947803,72.44,97.22
49,1.4978055676221849,1.0393748835623264,69.17,96.7
50,1.497524325299263,1.144470342695713,64.85,95.56
51,1.4837988028407096,0.9729043861925601,71.98,96.45
52,1.4981644058465957,1.1082085382938385,68.71,96.27
53,1.4857643137693406,1.0474204455912113,71.06,96.32
54,1.4820280968427657,1.0546279042959212,69.81,96.74
55,1.489369841516018,1.021143019348383,71.14,96.99
56,1.4863366788268089,0.99997167339921,70.11,96.84
57,1.4770187241196633,1.087077560454607,66.68,96.38
58,1.4818440780878066,1.0531944144666194,69.09,96.58
59,1.475018670499325,0.9972526435554028,72.24,96.9
60,1.4818099366903306,1.0156549778282642,71.39,96.59
61,1.472357749068737,1.0092584189176559,71.17,97.04
62,1.4687212678790091,1.0146342330276965,71.04,96.55
63,1.473585002529621,0.9833043040633201,71.37,96.97
64,1.4729442924499512,1.1398573528528213,66.72,95.21
65,1.4635624781370162,1.1280383152067661,67.19,96.36
66,1.463003665304184,1.0982479912638665,69.73,96.54
67,1.468187985265255,1.006608201622963,72.24,97.06
68,1.4596141042351722,0.9669259684681892,72.14,96.84
69,1.4698035694122313,0.9711064421534539,73.38,96.74
70,1.4624141849994658,1.1269039125442506,69.98,96.19
71,1.4495972368478776,1.1477780124545098,67.48,96.16
72,1.4438402766942977,1.0135554298758507,73.64,97.14
73,1.4594686179518699,0.9990957213640212,71.13,97.01
74,1.4477393723249437,1.087265649318695,71.94,96.75
75,1.450616936469078,1.1135640666484832,70.05,96.51
76,1.4475954341173172,1.0399916615486144,71.04,96.58
77,1.4459412781119347,1.02563538980484,72.04,97.36
78,1.445747707760334,1.1025544748306275,69.12,96.43
79,1.4434864049077034,1.1112468915581704,68.85,96.2
80,1.4476095583081245,1.0115264496803285,72.1,96.37
81,1.4379432009220123,1.1082651966810226,71.18,97.03
82,1.432371202993393,1.0755557341575623,71.47,96.88
83,1.4369679376244544,0.9907601364552975,72.66,97.1
84,1.4323642005324364,1.0440165621936321,69.76,96.18
85,1.4263158927440642,0.9971518370509148,73.41,96.91
86,1.4329554767131805,1.1717507405877112,69.75,96.07
87,1.4224225667595862,1.1257964243292808,68.39,96.26
88,1.4252565569043159,1.088042484819889,71.07,96.17
89,1.429149249947071,1.2839611009955407,66.06,95.68
90,1.43422536226511,1.0733258304595947,70.61,96.31
91,1.4164952714681625,1.0805733268260955,72.93,96.77
92,1.426373862159252,0.9832817421257496,73.61,97.04
93,1.4108555829405784,1.1060756500065327,70.84,96.71
94,1.4248490460991858,1.137696512877941,69.22,95.65
95,1.4136130873918533,1.140488152205944,68.15,95.92
96,1.4145668781876564,1.131430881947279,69.88,96.87
97,1.407754093682766,1.0335457759797573,70.07,97.15
98,1.411427962398529,0.9241708410680294,75.03,97.53
99,1.4111610368847847,1.0115742701292039,72.35,96.92
100,1.3967728909611703,1.0061794526278973,72.23,97.15
101,1.4104215525627137,1.0464380697906017,72.74,97.0
102,1.4081716445803643,1.0382902823388576,72.25,97.2
103,1.4019456615567207,1.1836504390835763,69.33,95.42
104,1.405267742908001,1.1206831614375115,69.29,96.33
105,1.3926809369802475,1.0526413731575013,71.74,96.61
106,1.4052185205817223,1.1554588251709939,69.96,96.28
107,1.395958914220333,1.2508742879033088,64.47,94.47
108,1.3966409034252167,1.0181274844408035,73.9,97.52
109,1.3917686951756478,1.0127862015366553,73.33,97.24
110,1.3972697160840035,1.10089766818285,72.64,97.06
111,1.3807751226305962,1.2271615464687347,64.09,95.55
112,1.3900198333859444,1.0600348404943942,71.45,96.72
113,1.3792149890184402,1.2148652037978172,69.01,95.76
114,1.3856667396068574,1.092354112058878,74.25,97.28
115,1.3790436011433602,1.1099395011663438,69.61,96.82
116,1.3818523554325104,1.046534368813038,74.16,97.24
117,1.3806988531708717,1.0545191734731196,71.73,96.85
118,1.384053334724903,1.158419217467308,69.43,96.12
119,1.380113536155224,1.2436545597910882,68.32,95.56
