model,layer,connection_layer,f_out,s_n,timesteps,synaptic_ops
LIF,patch_embed.proj_lif,patch_embed.proj_conv,32,864.8649249690594,4,110702.7103960396
LIF,patch_embed.proj_lif1,patch_embed.proj_conv,32,122.04586943069307,4,15621.871287128713
LIF,patch_embed.proj_lif2,patch_embed.proj_conv,32,7.574922165068069,4,969.5900371287129
LIF,patch_embed.proj_lif3,patch_embed.proj_conv,32,1.8344847424195545,4,234.81404702970298
LIF,block.0.attn.shortcut_lif,block.0.attn.q_conv,256,2.963005443610767,4,3034.1175742574255
LIF,block.0.attn.q_lif,block.0.attn.q_conv,256,1.5467795192605198,4,1583.9022277227723
LIF,block.0.attn.k_lif,block.0.attn.q_conv,256,0.5103421352877475,4,522.5903465346535
LIF,block.0.attn.v_lif,patch_embed.proj_conv,32,0.5258994527382426,4,67.31512995049505
LIF,block.0.mlp.fc1_lif,block.0.attn.q_conv,256,2.898456837871287,4,2968.019801980198
LIF,block.0.mlp.fc2_lif,block.0.attn.q_conv,256,0.42301714302289606,4,433.16955445544556
LIF,block.1.attn.shortcut_lif,patch_embed.proj_conv1,64,3.746422493811881,4,959.0841584158416
LIF,block.1.attn.q_lif,patch_embed.proj_conv1,64,1.9448943185334158,4,497.89294554455444
LIF,block.1.attn.k_lif,patch_embed.proj_conv1,64,0.24541329865408415,4,62.82580445544554
LIF,block.1.attn.v_lif,patch_embed.proj_conv,32,0.32291465230507427,4,41.333075495049506
LIF,block.1.mlp.fc1_lif,patch_embed.proj_conv1,64,3.4117770053372523,4,873.4149133663366
LIF,block.1.mlp.fc2_lif,patch_embed.proj_conv1,64,0.3449208476755879,4,88.2997370049505
IF_Hard,patch_embed.proj_lif,patch_embed.proj_conv,32,1133.3224396658416,4,145065.27227722772
IF_Hard,patch_embed.proj_lif1,patch_embed.proj_conv,32,100.4924775680693,4,12863.037128712871
IF_Hard,patch_embed.proj_lif2,patch_embed.proj_conv,32,10.172073213180694,4,1302.0253712871288
IF_Hard,patch_embed.proj_lif3,patch_embed.proj_conv,32,3.8728667910736387,4,495.72694925742576
IF_Hard,block.0.attn.shortcut_lif,block.0.attn.q_conv,256,4.425904528929456,4,4532.126237623763
IF_Hard,block.0.attn.q_lif,block.0.attn.q_conv,256,2.916077264464728,4,2986.0631188118814
IF_Hard,block.0.attn.k_lif,block.0.attn.q_conv,256,1.9221904490253714,4,1968.3230198019803
IF_Hard,block.0.attn.v_lif,patch_embed.proj_conv,32,1.5402686997215347,4,197.15439356435644
IF_Hard,block.0.mlp.fc1_lif,block.0.attn.q_conv,256,5.144691996055074,4,5268.164603960396
IF_Hard,block.0.mlp.fc2_lif,block.0.attn.q_conv,256,0.44440271358678834,4,455.06837871287127
IF_Hard,block.1.attn.shortcut_lif,patch_embed.proj_conv1,64,4.975737014619431,4,1273.7886757425742
IF_Hard,block.1.attn.q_lif,patch_embed.proj_conv1,64,2.878816812345297,4,736.977103960396
IF_Hard,block.1.attn.k_lif,patch_embed.proj_conv1,64,0.976505695003094,4,249.98545792079207
IF_Hard,block.1.attn.v_lif,patch_embed.proj_conv,32,0.9335623259591584,4,119.49597772277228
IF_Hard,block.1.mlp.fc1_lif,patch_embed.proj_conv1,64,6.226280892249381,4,1593.9279084158416
IF_Hard,block.1.mlp.fc2_lif,patch_embed.proj_conv1,64,0.3557606309947401,4,91.07472153465346
IF_Soft,patch_embed.proj_lif,patch_embed.proj_conv,32,1325.1548480043316,4,169619.82054455444
IF_Soft,patch_embed.proj_lif1,patch_embed.proj_conv,32,171.61757909189356,4,21967.050123762376
IF_Soft,patch_embed.proj_lif2,patch_embed.proj_conv,32,19.237911413211634,4,2462.452660891089
IF_Soft,patch_embed.proj_lif3,patch_embed.proj_conv,32,8.6607666015625,4,1108.578125
IF_Soft,block.0.attn.shortcut_lif,block.0.attn.q_conv,256,7.278212745590966,4,7452.889851485149
IF_Soft,block.0.attn.q_lif,block.0.attn.q_conv,256,5.6499821124690595,4,5785.581683168317
IF_Soft,block.0.attn.k_lif,block.0.attn.q_conv,256,4.6807063640934405,4,4793.043316831683
IF_Soft,block.0.attn.v_lif,patch_embed.proj_conv,32,4.483147045173268,4,573.8428217821782
IF_Soft,block.0.mlp.fc1_lif,block.0.attn.q_conv,256,7.477832756420173,4,7657.300742574257
IF_Soft,block.0.mlp.fc2_lif,block.0.attn.q_conv,256,4.261160671120823,4,4363.428527227723
IF_Soft,block.1.attn.shortcut_lif,patch_embed.proj_conv1,64,6.901517056002476,4,1766.7883663366338
IF_Soft,block.1.attn.q_lif,patch_embed.proj_conv1,64,1.9637161103805694,4,502.71132425742576
IF_Soft,block.1.attn.k_lif,patch_embed.proj_conv1,64,2.445017597462871,4,625.924504950495
IF_Soft,block.1.attn.v_lif,patch_embed.proj_conv,32,2.0435029586943068,4,261.56837871287127
IF_Soft,block.1.mlp.fc1_lif,patch_embed.proj_conv1,64,7.091748530321782,4,1815.4876237623762
IF_Soft,block.1.mlp.fc2_lif,patch_embed.proj_conv1,64,0.5721846476639851,4,146.4792698019802
