model,layer,connection_layer,f_out,s_n,timesteps,synaptic_ops
LIF,patch_embed.proj_lif,patch_embed.proj_conv,864,0.21144821163945304,4,730.7650194259497
LIF,patch_embed.proj_lif1,patch_embed.proj_conv,864,0.11913289962866055,4,411.7233011166509
LIF,patch_embed.proj_lif2,patch_embed.proj_conv,864,0.02958536605103709,4,102.24702507238418
LIF,patch_embed.proj_lif3,patch_embed.proj_conv,864,0.11502294570874101,4,397.51930036940894
LIF,block.0.attn.shortcut_lif,block.0.attn.q_conv,65536,0.18529122934554712,4,48572.984025559104
LIF,block.0.attn.q_lif,block.0.attn.q_conv,65536,0.09683888103253545,4,25385.731629392973
LIF,block.0.attn.k_lif,block.0.attn.q_conv,65536,0.03208279838196386,4,8410.313099041534
LIF,block.0.attn.v_lif,patch_embed.proj_conv,864,0.032900216099553216,4,113.70314684005591
LIF,block.0.mlp.fc1_lif,block.0.attn.q_conv,65536,0.18131053790497703,4,47529.4696485623
LIF,block.0.mlp.fc2_lif,block.0.attn.q_conv,65536,0.02645077568273575,4,6933.91214057508
LIF,block.1.attn.shortcut_lif,patch_embed.proj_conv1,18432,0.23395492017459565,4,17249.028354632588
LIF,block.1.attn.q_lif,patch_embed.proj_conv1,18432,0.12162090947452825,4,8966.866413738018
LIF,block.1.attn.k_lif,patch_embed.proj_conv1,18432,0.015320969846682807,4,1129.58446485623
LIF,block.1.attn.v_lif,patch_embed.proj_conv,864,0.02016907225782498,4,69.70431372304313
LIF,block.1.mlp.fc1_lif,patch_embed.proj_conv1,18432,0.21306541857247155,4,15708.887180511183
LIF,block.1.mlp.fc2_lif,patch_embed.proj_conv1,18432,0.02169460381943578,4,1599.4997503993611
IF_Hard,patch_embed.proj_lif,patch_embed.proj_conv,864,0.27653878565413503,4,955.7180432206907
IF_Hard,patch_embed.proj_lif1,patch_embed.proj_conv,864,0.0982072254339346,4,339.404171099678
IF_Hard,patch_embed.proj_lif2,patch_embed.proj_conv,864,0.0397333321860804,4,137.31839603509385
IF_Hard,patch_embed.proj_lif3,patch_embed.proj_conv,864,0.2425224377324406,4,838.1575448033146
IF_Hard,block.0.attn.shortcut_lif,block.0.attn.q_conv,65536,0.2767658416455546,4,72552.50479233227
IF_Hard,block.0.attn.q_lif,block.0.attn.q_conv,65536,0.18212498186495357,4,47742.97124600639
IF_Hard,block.0.attn.k_lif,block.0.attn.q_conv,65536,0.12022982466335114,4,31517.52715654952
IF_Hard,block.0.attn.v_lif,patch_embed.proj_conv,864,0.09636234856261232,4,333.02827663238816
IF_Hard,block.0.mlp.fc1_lif,block.0.attn.q_conv,65536,0.32166292720709366,4,84322.00638977636
IF_Hard,block.0.mlp.fc2_lif,block.0.attn.q_conv,65536,0.027770685311704398,4,7279.918530351438
IF_Hard,block.1.attn.shortcut_lif,patch_embed.proj_conv1,18432,0.31094735727523465,4,22925.5267571885
IF_Hard,block.1.attn.q_lif,patch_embed.proj_conv1,18432,0.17961815294747155,4,13242.887180511183
IF_Hard,block.1.attn.k_lif,patch_embed.proj_conv1,18432,0.06116046844579922,4,4509.239017571885
IF_Hard,block.1.attn.v_lif,patch_embed.proj_conv,864,0.05845505589494309,4,202.02067317292332
IF_Hard,block.1.mlp.fc1_lif,patch_embed.proj_conv1,18432,0.3891955000904802,4,28694.605830670924
IF_Hard,block.1.mlp.fc2_lif,patch_embed.proj_conv1,18432,0.02223054441019369,4,1639.0135782747602
IF_Soft,patch_embed.proj_lif,patch_embed.proj_conv,864,0.27405808908870805,4,947.144755890575
IF_Soft,patch_embed.proj_lif1,patch_embed.proj_conv,864,0.1495683932075866,4,516.9083669254193
IF_Soft,patch_embed.proj_lif2,patch_embed.proj_conv,864,0.059574142431679626,4,205.8882362438848
IF_Soft,patch_embed.proj_lif3,patch_embed.proj_conv,864,0.412777836711262,4,1426.5602036741216
IF_Soft,block.0.attn.shortcut_lif,block.0.attn.q_conv,65536,0.391109381240016,4,102526.97763578275
IF_Soft,block.0.attn.q_lif,block.0.attn.q_conv,65536,0.24471575459733177,4,64150.76677316294
IF_Soft,block.0.attn.k_lif,block.0.attn.q_conv,65536,0.13849320579260682,4,36305.16293929712
IF_Soft,block.0.attn.v_lif,patch_embed.proj_conv,864,0.1328424325766274,4,459.1034469848243
IF_Soft,block.0.mlp.fc1_lif,block.0.attn.q_conv,65536,0.4113629618391823,4,107836.3322683706
IF_Soft,block.0.mlp.fc2_lif,block.0.attn.q_conv,65536,0.06427335282103322,4,16848.873801916932
IF_Soft,block.1.attn.shortcut_lif,patch_embed.proj_conv1,18432,0.4112098620722469,4,30317.68071086262
IF_Soft,block.1.attn.q_lif,patch_embed.proj_conv1,18432,0.1232146241794379,4,9084.367811501597
IF_Soft,block.1.attn.k_lif,patch_embed.proj_conv1,18432,0.055819136646989814,4,4115.433306709265
IF_Soft,block.1.attn.v_lif,patch_embed.proj_conv,864,0.04809148623920477,4,166.20417644269168
IF_Soft,block.1.mlp.fc1_lif,patch_embed.proj_conv1,18432,0.4334706071847544,4,31958.92092651757
IF_Soft,block.1.mlp.fc2_lif,patch_embed.proj_conv1,18432,0.02281781278860074,4,1682.3117012779553
