model,layer,connection_layer,f_out,s_n,timesteps,synaptic_ops
LIF,patch_embed.proj_lif,patch_embed.proj_conv,32,866.0918748751997,4,110859.75998402556
LIF,patch_embed.proj_lif1,patch_embed.proj_conv,32,121.99208921974841,4,15614.987420127796
LIF,patch_embed.proj_lif2,patch_embed.proj_conv,32,7.573853709065495,4,969.4532747603834
LIF,patch_embed.proj_lif3,patch_embed.proj_conv,32,1.8403671313398562,4,235.5669928115016
LIF,block.0.attn.shortcut_lif,block.0.attn.q_conv,256,2.964659669528754,4,3035.811501597444
LIF,block.0.attn.q_lif,block.0.attn.q_conv,256,1.5494220965205672,4,1586.6082268370608
LIF,block.0.attn.k_lif,block.0.attn.q_conv,256,0.5133247741114217,4,525.6445686900959
LIF,block.0.attn.v_lif,patch_embed.proj_conv,32,0.5264034575928515,4,67.37964257188499
LIF,block.0.mlp.fc1_lif,block.0.attn.q_conv,256,2.9009686064796325,4,2970.5918530351437
LIF,block.0.mlp.fc2_lif,block.0.attn.q_conv,256,0.423212410923772,4,433.3695087859425
LIF,block.1.attn.shortcut_lif,patch_embed.proj_conv1,64,3.7432787227935305,4,958.2793530351438
LIF,block.1.attn.q_lif,patch_embed.proj_conv1,64,1.945934551592452,4,498.1592452076677
LIF,block.1.attn.k_lif,patch_embed.proj_conv1,64,0.24513551754692492,4,62.75469249201278
LIF,block.1.attn.v_lif,patch_embed.proj_conv,32,0.3227051561251997,4,41.30625998402556
LIF,block.1.mlp.fc1_lif,patch_embed.proj_conv1,64,3.409046697159545,4,872.7159544728435
LIF,block.1.mlp.fc2_lif,patch_embed.proj_conv1,64,0.34711366111097247,4,88.86109724440895
IF_Hard,patch_embed.proj_lif,patch_embed.proj_conv,32,1132.702866039337,4,144985.96685303515
IF_Hard,patch_embed.proj_lif1,patch_embed.proj_conv,32,100.56419884434904,4,12872.217452076677
IF_Hard,patch_embed.proj_lif2,patch_embed.proj_conv,32,10.171733039636582,4,1301.9818290734825
IF_Hard,patch_embed.proj_lif3,patch_embed.proj_conv,32,3.8803590037190494,4,496.6859524760383
IF_Hard,block.0.attn.shortcut_lif,block.0.attn.q_conv,256,4.428253466328874,4,4534.531549520767
IF_Hard,block.0.attn.q_lif,block.0.attn.q_conv,256,2.913999709839257,4,2983.9357028753993
IF_Hard,block.0.attn.k_lif,block.0.attn.q_conv,256,1.9236771946136182,4,1969.845447284345
IF_Hard,block.0.attn.v_lif,patch_embed.proj_conv,32,1.541797577001797,4,197.35008985623003
IF_Hard,block.0.mlp.fc1_lif,block.0.attn.q_conv,256,5.146606835313499,4,5270.125399361023
IF_Hard,block.0.mlp.fc2_lif,block.0.attn.q_conv,256,0.44433096498727037,4,454.99490814696486
IF_Hard,block.1.attn.shortcut_lif,patch_embed.proj_conv1,64,4.975157716403754,4,1273.6403753993611
IF_Hard,block.1.attn.q_lif,patch_embed.proj_conv1,64,2.873890447159545,4,735.7159544728435
IF_Hard,block.1.attn.k_lif,patch_embed.proj_conv1,64,0.9785674951327875,4,250.5132787539936
IF_Hard,block.1.attn.v_lif,patch_embed.proj_conv,32,0.9352808943190895,4,119.71595447284345
IF_Hard,block.1.mlp.fc1_lif,patch_embed.proj_conv1,64,6.227128001447683,4,1594.144768370607
IF_Hard,block.1.mlp.fc2_lif,patch_embed.proj_conv1,64,0.35568871056309903,4,91.05630990415335
IF_Soft,patch_embed.proj_lif,patch_embed.proj_conv,32,1122.5419329073482,4,143685.36741214056
IF_Soft,patch_embed.proj_lif1,patch_embed.proj_conv,32,153.1580346445687,4,19604.228434504792
IF_Soft,patch_embed.proj_lif2,patch_embed.proj_conv,32,15.250980462509984,4,1952.125499201278
IF_Soft,patch_embed.proj_lif3,patch_embed.proj_conv,32,6.604445387380192,4,845.3690095846646
IF_Soft,block.0.attn.shortcut_lif,block.0.attn.q_conv,256,6.257750099840256,4,6407.936102236422
IF_Soft,block.0.attn.q_lif,block.0.attn.q_conv,256,3.9154520735573084,4,4009.422923322684
IF_Soft,block.0.attn.k_lif,block.0.attn.q_conv,256,2.215891292681709,4,2269.07268370607
IF_Soft,block.0.attn.v_lif,patch_embed.proj_conv,32,2.1254789212260383,4,272.0613019169329
IF_Soft,block.0.mlp.fc1_lif,block.0.attn.q_conv,256,6.581807389426917,4,6739.770766773163
IF_Soft,block.0.mlp.fc2_lif,block.0.attn.q_conv,256,1.0283736451365315,4,1053.0546126198083
IF_Soft,block.1.attn.shortcut_lif,patch_embed.proj_conv1,64,6.579357793155951,4,1684.3155950479234
IF_Soft,block.1.attn.q_lif,patch_embed.proj_conv1,64,1.9714339868710065,4,504.68710063897765
IF_Soft,block.1.attn.k_lif,patch_embed.proj_conv1,64,0.893106186351837,4,228.63518370607028
IF_Soft,block.1.attn.v_lif,patch_embed.proj_conv,32,0.7694637798272763,4,98.49136381789137
IF_Soft,block.1.mlp.fc1_lif,patch_embed.proj_conv1,64,6.93552971495607,4,1775.495607028754
IF_Soft,block.1.mlp.fc2_lif,patch_embed.proj_conv1,64,0.36508500461761184,4,93.46176118210863
